numeric_code	icdo3_site	classification	mets_site_group
0	C00.0 External upper lip	Distant	Head and neck
1	C00.1 External lower lip	Distant	Head and neck
100	C10.0 Vallecula	Distant	Head and neck
101	C10.1 Anterior surface of epiglottis	Distant	Head and neck
102	C10.2 Lateral wall of oropharynx	Distant	Head and neck
103	C10.3 Posterior wall of oropharynx	Distant	Head and neck
104	C10.4 Branchial cleft	Distant	Head and neck
108	C10.8 Overlapping lesions of oropharynx	Distant	Head and neck
109	C10.9 Oropharynx NOS	Distant	Head and neck
110	C11.0 Superior wall of nasopharynx	Distant	Head and neck
111	C11.1 Posterior wall of nasopharynx	Distant	Head and neck
112	C11.2 Lateral wall of nasopharynx	Distant	Head and neck
113	C11.3 Anterior wall of nasopharynx	Distant	Head and neck
118	C11.8 Overlapping lesion of nasopharynx	Distant	Head and neck
119	C11.9 Nasopharynx NOS	Distant	Head and neck
129	C12.9 Pyriform sinus	Distant	Head and neck
130	C13.0 Postcricoid region	Distant	Head and neck
131	C13.1 Hypopharyngeal aspect of aryepiglottic fold	Distant	Head and neck
132	C13.2 Posterior wall of hypopharynx	Distant	Head and neck
138	C13.8 Overlapping lesion of hypopharynx	Distant	Head and neck
139	C13.9 Hypopharynx NOS	Distant	Head and neck
140	C14.0 Pharynx NOS	Distant	Head and neck
142	C14.2 Waldeyer ring	Distant	Head and neck
148	C14.8 Overlapping lesion of lip oral cavity and pharynx	Distant	Head and neck
150	C15.0 Cervical esophagus	Distant	Head and neck
151	C15.1 Thoracic esophagus	Distant	Thorax
152	C15.2 Abdominal esophagus	Distant	Abdomen
153	C15.3 Upper third of esophagus	Distant	Head and neck
154	C15.4 Middle third of esophagus	Distant	Thorax
155	C15.5 Lower third of esophagus	Distant	Abdomen
158	C15.8 Overlapping lesion of esophagus	Distant	Rare and nos
159	C15.9 Esophagus NOS	Distant	Rare and nos
160	C16.0 Cardia NOS	Distant	Abdomen
161	C16.1 Fundus of stomach	Distant	Abdomen
162	C16.2 Body of stomach	Distant	Abdomen
163	C16.3 Gastric antrum	Distant	Abdomen
164	C16.4 Pylorus	Distant	Abdomen
165	C16.5 Lesser curvature of stomach NOS	Distant	Abdomen
166	C16.6 Greater curvature of stomach NOS	Distant	Abdomen
168	C16.8 Overlapping lesion of stomach	Distant	Abdomen
169	C16.9 Stomach NOS	Distant	Abdomen
170	C17.0 Duodenum	Distant	Abdomen
171	C17.1 Jejunum	Distant	Abdomen
172	C17.2 Ileum	Distant	Abdomen
173	C17.3 Meckel diverticulum	Distant	Abdomen
178	C17.8 Overlapping lesion of small intestine	Distant	Abdomen
179	C17.9 Small intestine NOS	Distant	Abdomen
180	C18.0 Cecum	Distant	Abdomen
181	C18.1 Appendix	Distant	Abdomen
182	C18.2 Ascending colon	Distant	Abdomen
183	C18.3 Hepatic flexure of colon	Distant	Abdomen
184	C18.4 Transverse colon	Distant	Abdomen
185	C18.5 Splenic flexure of colon	Distant	Abdomen
186	C18.6 Descending colon	Distant	Abdomen
187	C18.7 Sigmoid colon	Distant	Pelvis
188	C18.8 Overlapping lesion of colon	Distant	Abdomen
189	C18.9 Colon NOS	Distant	Abdomen
19	C01.9 Base of tongue NOS	Distant	Head and neck
199	C19.9 Rectosigmoid junction	Distant	Pelvis
2	C00.2 External lip NOS	Distant	Head and neck
20	C02.0 Dorsal surface of tongue NOS	Distant	Head and neck
209	C20.9 Rectum NOS	Distant	Pelvis
21	C02.1 Border of tongue	Distant	Head and neck
210	C21.0 Anus NOS	Distant	Pelvis
211	C21.1 Anal canal	Distant	Pelvis
212	C21.2 Cloacogenic zone	Distant	Pelvis
218	C21.8 Overlapping lesion of rectum anus and anal canal	Distant	Pelvis
22	C02.2 Ventral surface of tongue NOS	Distant	Head and neck
220	C22.0 Liver	Distant	Liver
221	C22.1 intrahepatic bile duct	Distant	Abdomen
